Value,pValue,smiles,ID,ROMol,pIC50
100000.0,4,CC(C)NCC(COc(c1ccccc11)ccc1NC(C)=O)O,Compound 1,<rdkit.Chem.rdchem.Mol object at 0x7a529e342c00>,-5.0
100000.0,4,COc1cc(CCN(CCc(cc2)ccc2NC(c(cc(c(OC)c2)OC)c2NC(c2cc3ccccc3nc2)=O)=O)C2)c2cc1OC,Compound 2,<rdkit.Chem.rdchem.Mol object at 0x7a529e342b90>,-5.0
100000.0,4,CCc(cccc1)c1N(CC(NCc(cc1)ccc1Cl)=O)S(c1ccc(C)cc1)(=O)=O,Compound 3,<rdkit.Chem.rdchem.Mol object at 0x7a529e342ce0>,-5.0
100000.0,4,CCN(CC(CNC(c1c(N)n(-c(cc2)ccc2F)nc1)=O)(C(F)(F)F)O)C(c(nccc1)c1Cl)=O,Compound 4,<rdkit.Chem.rdchem.Mol object at 0x7a529e342dc0>,-5.0
100000.0,4,Nc(n(-c(cc1)ccc1F)nc1)c1C(NCC(CN(CCO)C(c(c(F)ccc1)c1F)=O)(C(F)(F)F)O)=O,Compound 5,<rdkit.Chem.rdchem.Mol object at 0x7a529e342e30>,-5.0
100000.0,4,OC(c(cccc1)c1Oc(ncc(Cl)c1)c1NS(c(cc1)cc(Cl)c1Cl)(=O)=O)=O,Compound 6,<rdkit.Chem.rdchem.Mol object at 0x7a529e342ea0>,-5.0
100000.0,4,OC(c(cccc1)c1NC(N(CC1)CCC1c1c(C(F)(F)F)cccc1)=O)=O,Compound 7,<rdkit.Chem.rdchem.Mol object at 0x7a529e342f80>,-5.0
100000.0,4,C[C@H](c1cccc2ccccc12)NC(CC1)CC1c(cc1)ccc1C(O)=O,Compound 8,<rdkit.Chem.rdchem.Mol object at 0x7a529e343060>,-5.0
100000.0,4,Cc1cccnc1CN(C)CC(C1)NCc2c1c(N1CCNCC1)ccc2,Compound 9,<rdkit.Chem.rdchem.Mol object at 0x7a529e343140>,-5.0
100000.0,4,Cc1cnc(CN(C)CC(C2)NCc3c2c(N2CCNCC2)ccc3)c(C)c1,Compound 10,<rdkit.Chem.rdchem.Mol object at 0x7a529e3431b0>,-5.0
100000.0,4,Cc1cnc(CN(C)CC(C2)NCc3c2c(N2CCNCC2)ccc3)cc1,Compound 11,<rdkit.Chem.rdchem.Mol object at 0x7a529e343220>,-5.0
100000.0,4,Cc1cnc([C@H](CCC2)N(C)C[C@@H](C3)NCc4c3c(N3CCNCC3)ccc4)c2c1,Compound 12,<rdkit.Chem.rdchem.Mol object at 0x7a529e343290>,-5.0
100000.0,4,CC(N1CCN(CCOCc(cc2)nn2-c(cc2)cc(F)c2F)CC1)=O.Cl,Compound 13,<rdkit.Chem.rdchem.Mol object at 0x7a529e343370>,-5.0
98000.0,4.01,CCCCc1cc(N/C=N/O)c(C)cc1,Compound 14,<rdkit.Chem.rdchem.Mol object at 0x7a529e3433e0>,-4.991226075692495
98000.0,4.01,c1c(-c2cccnc2)nc[nH]1,Compound 15,<rdkit.Chem.rdchem.Mol object at 0x7a529e343450>,-4.991226075692495
97800.0,4.01,CC(C)N(CCO)Cc1csc(-c(c2ccc3)cn(CC4CCOCC4)c2c3Cl)n1,Compound 16,<rdkit.Chem.rdchem.Mol object at 0x7a529e3434c0>,-4.990338854787601
97700.0,4.01,COc1cc(C[C@@H](CO)[C@H](CO)[C@H]2c(cc3)cc(OC)c3O)c2cc1O,Compound 17,<rdkit.Chem.rdchem.Mol object at 0x7a529e3435a0>,-4.989894563718773
97000.0,4.01,Cc1c(C)nc(c(NCc2c(C)cccc2C)c2)n1cc2N(C=CC=C1)C1=O,Compound 18,<rdkit.Chem.rdchem.Mol object at 0x7a529e343680>,-4.986771734266245
96500.0,4.01,CCCCOc(cc1)ccc1-c1ccnn1C,Compound 19,<rdkit.Chem.rdchem.Mol object at 0x7a529e343760>,-4.984527313343793
96000.0,4.02,CCN(CC(CNC(c1c(N)n(-c(cc2)ccc2F)nc1)=O)(C(F)(F)F)O)C(c(cccc1)c1S(C)(=O)=O)=O,Compound 20,<rdkit.Chem.rdchem.Mol object at 0x7a529e3437d0>,-4.982271233039568
95900.0,4.02,Cc1c(-c2cnccc2)scc1,Compound 21,<rdkit.Chem.rdchem.Mol object at 0x7a529e343840>,-4.981818607170664
95700.0,4.02,COc1cc(C[C@@H]([C@H](Cc(cc2)cc3c2OCO3)CO2)C2=O)cc(OC)c1OC,Compound 22,<rdkit.Chem.rdchem.Mol object at 0x7a529e3438b0>,-4.980911937776844
95000.0,4.02,OC(CC(c(c-1ccc2)c2F)n2c1cnc2)C(CC1)CCC1=O,Compound 23,<rdkit.Chem.rdchem.Mol object at 0x7a529e343990>,-4.977723605288848
94300.0,4.03,CC(C(C(C([C@H]1COC(N)=O)=C2N(C[C@@H]3N(C)[C@H]33)C13OC)=O)=N)=C2O,Compound 24,<rdkit.Chem.rdchem.Mol object at 0x7a529e343a00>,-4.9745116927373285
94000.0,4.03,O[C@@H](C[C@@H](c(c-1ccc2)c2F)n2c1cnc2)[C@H](CC1)CC[C@@H]1O,Compound 25,<rdkit.Chem.rdchem.Mol object at 0x7a529e343a70>,-4.973127853599698
93500.0,4.03,CCCCOc(cc1)ccc1-c1n[nH]cc1,Compound 26,<rdkit.Chem.rdchem.Mol object at 0x7a529e343b50>,-4.970811610872517
93500.0,4.03,CC(C)c1nc(C(NC2CCN(CCF)CC2)=O)c2n1cccc2,Compound 27,<rdkit.Chem.rdchem.Mol object at 0x7a529e343bc0>,-4.970811610872517
92100.0,4.04,OC(CSc(n1-c2ccc(C3CC3)c3ccccc23)nnc1Br)=O,Compound 28,<rdkit.Chem.rdchem.Mol object at 0x7a529e343c30>,-4.964259630196849
92000.0,4.04,CC(N(CC1)CCC1C(N(C[C@@H]1C(N(C)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)=O)C[C@@H]1c(cc1)c(C)cc1F)=O)=O,Compound 29,<rdkit.Chem.rdchem.Mol object at 0x7a529e343ca0>,-4.963787827345556
91000.0,4.04,CC(C(N1)=O)(c2cccc(CN(c(cccc3)c3N3c4noc5c4ccc(OC)c5)C3=O)c2)OC1=O,Compound 30,<rdkit.Chem.rdchem.Mol object at 0x7a529e343d10>,-4.959041392321094
90800.0,4.04,CC(SCc1ccc(-c2cnccc2)o1)=O,Compound 31,<rdkit.Chem.rdchem.Mol object at 0x7a529e343d80>,-4.958085848521085
90600.0,4.04,CNCc1ccc(-c2cnccc2)o1,Compound 32,<rdkit.Chem.rdchem.Mol object at 0x7a529e343df0>,-4.957128197676813
90200.0,4.04,CC(C)c1nc(C(NC[C@H]2[C@H]3[C@@H]2CN(CC2CCOCC2)C3)=O)c2n1cccc2,Compound 33,<rdkit.Chem.rdchem.Mol object at 0x7a529e343e60>,-4.955206537541942
90020.0,4.05,CN(C)c1ccc(CC(N[C@@H](CNC2)[C@H]2c(cc2)ccc2S(F)(F)(F)(F)F)=O)cc1,Compound 34,<rdkit.Chem.rdchem.Mol object at 0x7a529e343f40>,-4.95433900860246
89000.0,4.05,CCN(CC(CNC(c1c(N)n(-c(cc2)ccc2F)nc1)=O)(C(F)(F)F)O)C(c(c(Cl)ccc1)c1Cl)=O,Compound 35,<rdkit.Chem.rdchem.Mol object at 0x7a529e398040>,-4.949390006644912
88700.0,4.05,CCCCOc(cc1)ccc1-c1ncccc1,Compound 36,<rdkit.Chem.rdchem.Mol object at 0x7a529e3980b0>,-4.947923619831727
88500.0,4.05,CC(C)c1nc(C(NC[C@H]2[C@H]3[C@@H]2CN(CC(CC2)CCN2C(OC)=O)C3)=O)c2n1cccc2,Compound 37,<rdkit.Chem.rdchem.Mol object at 0x7a529e398120>,-4.946943270697825
88000.0,4.06,C[C@H](c1nnc(-c2nc(C)ns2)n1CC1)N1C(c(cc1)ccc1Cl)=O,Compound 38,<rdkit.Chem.rdchem.Mol object at 0x7a529e398190>,-4.944482672150168
