Value,pValue,smiles,ID,ROMol
1.0e5,4,N[C@@H](C(CC(C1)C2)(CC1C1)CC12O)C(N([C@@H](C1)[C@@H]1C1)[C@@H]1C#N)=O,Compound 1,<rdkit.Chem.rdchem.Mol object at 0x7a529716ab90>
1.0e5,4,OC=O.O=C(c(cc1)ccc1F)N(CCN1c(cc2)ccc2OCCCN2CCCCC2)CC1=O,Compound 4,<rdkit.Chem.rdchem.Mol object at 0x7a529716b530>
1.0e5,4,Nc(n(-c(cc1)ccc1F)nc1)c1C(NCC(CN(CCO)C(c(c(Cl)ccc1)c1Cl)=O)(C(F)(F)F)O)=O,Compound 7,<rdkit.Chem.rdchem.Mol object at 0x7a529716bb50>
1.0e5,4,Cc1ccc(c(N2CCN(CCc3cccc-4c3OCc3c(C(N)=O)ncn34)CC2)ccc2)c2n1,Compound 10,<rdkit.Chem.rdchem.Mol object at 0x7a529d97daf0>
1.0e5,4,CNC(CCC1)CC1c1c[nH]c(cc2)c1cc2NC(c1cccs1)=N.Cl,Compound 13,<rdkit.Chem.rdchem.Mol object at 0x7a529717c510>
1.0e5,4,CC(O[C@H]([C@H](c(cc1)ccc1OC)Sc(cccc1)c1N1CCN(C)C)C1=O)=O,Compound 16,<rdkit.Chem.rdchem.Mol object at 0x7a529717c120>
1.0e5,4,O=C(Cc1cc(OCCCC2CCNCC2)ccc1)Nc1nc(-c2c[nH]c3nccc(F)c23)cs1,Compound 19,<rdkit.Chem.rdchem.Mol object at 0x7a529717c270>
1.0e5,4,CC(N1CCN(CCOCc(cc2)nn2-c(cc2)cc(F)c2F)CC1)=O.Cl,Compound 22,<rdkit.Chem.rdchem.Mol object at 0x7a529717c4a0>
98200,4.01,C[C@@]1(C[C@H](C(C[C@@H]2C(C)=C3)=C4C)OC4=O)O[C@@]12[C@H]3O,Compound 25,<rdkit.Chem.rdchem.Mol object at 0x7a529717c890>
97000,4.01,CC(C)(C)c1cc(C(Cn2c(NCCCOC)nc3c2cc(C)c(C)c3)=O)cc(C(C)(C)C)c1O,Compound 28,<rdkit.Chem.rdchem.Mol object at 0x7a529717cac0>
96000,4.02,O[C@H]([C@H]1N[C@@H](Cc(cc2)ccc2NC(CN(C=Nc2c3cccc2)C3=O)=O)CC1)c1ccccc1,Compound 31,<rdkit.Chem.rdchem.Mol object at 0x7a529717cc80>
94000,4.03,CCCCc1cc(N/C=N/O)c(C)cc1,Compound 34,<rdkit.Chem.rdchem.Mol object at 0x7a529717ceb0>
92300,4.04,C/C=C/c(c(OC)c1)cc(OC)c1OC,Compound 37,<rdkit.Chem.rdchem.Mol object at 0x7a529717d070>
91900,4.04,O=C(NC(C1)(c(cc2)ccc2F)c(cc2)ccc2F)N1C1CCN(Cc2ccccc2)CC1,Compound 40,<rdkit.Chem.rdchem.Mol object at 0x7a529717d230>
90000,4.05,CCOc1cc(N(C)C(CC2)=O)c2cc1-c1cnccc1,Compound 43,<rdkit.Chem.rdchem.Mol object at 0x7a529717d460>
90000,4.05,NCc1ccc(-c(cncc2)c2-c2cnccc2)o1.Cl.Cl.Cl,Compound 46,<rdkit.Chem.rdchem.Mol object at 0x7a529717d5b0>
87600,4.06,CCC(CC)O[C@@H]([C@@H]([C@H](C1)NCc(ccc(-c2cccs2)c2)c2OC)NC(C)=O)C=C1C(O)=O,Compound 49,<rdkit.Chem.rdchem.Mol object at 0x7a529717d770>
86000,4.07,Nc1nc([C@@H](CC2)C(Nc3ccc(C[C@H](CC4)N[C@H]4[C@@H](c4ccccc4)O)cc3)=O)c2s1,Compound 52,<rdkit.Chem.rdchem.Mol object at 0x7a529717d930>
