DILIST_ID,CompoundName,DILIstClassification ,RoutsofAdministration ,smiles,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea;
3,Azathioprine,1,Oral,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,14.987858550205452,14.987858550205452,0.02004306063204897,-2.151153217163266,0.014176045967552611,16.425806451612903,2180.317,2041.212999999999,2178.9858128759984,848,0,0.3257062325732257,-0.5079666451556014,0.5079666451556014,0.3257062325732257,0.3548387096774194,0.7096774193548387,1.1225806451612903,16.387121549434323,9.960552192594756,2.4588594122880076,-2.3287219318795627,2.266563219296633,-2.611595861044917,6.028496919505963,-0.14401846121834094,1.7026193354607797,1.052628361033579,5529.131045889669,114.99259094342341,85.84391765747672,85.84391765747672,73.30358292411128,50.20107861427791,50.20107861427791,37.741088163940034,37.741088163940034,25.145697845559027,25.145697845559027,16.910072895909252,16.910072895909252,-17.089999999999996,2.3074622813891326e+49,126.57293797514218,63.91823301279843,44.397311250881124,887.8148593115264,158.03182965603054,90.33528344135533,5.959554568743835,118.14359458703017,0.0,35.81583172771109,125.27271320758715,4.794537184071822,0.0,0.0,106.91217524322785,130.55040342530117,64.70395536120635,51.60726610456285,160.40365854975238,159.91898088348506,5.409283605791522,105.08513546065909,29.03681452380934,266.00145856328015,58.902807653213166,101.61949343355356,0.0,5.749511833283905,107.5864086995942,0.0,5.749511833283905,0.0,359.8948219303542,143.92043165464548,17.24509569811431,172.80173573237377,84.92913895846256,0.0,0.0,0.0,901.5700000000002,353.857764679871,160.40365854975238,0.0,113.57766579279654,18.405094737549014,10.463361222547473,65.25449320908446,38.9703128044567,18.19910120538483,90.38540626810764,22.61028603727808,0.0,0.0,353.50371223104645,116.16230661763024,18.523150493425813,-32.26665093975962,-2.4958450813740747,-7.873691864902844,2.280351877267333,0.0,0.5408163265306123,155,31,57,0,3,3,20,3,0,3,16,0,29,28,57,3,66,0,3,3,0,0,52.195603500707236,6,-8.116429999999925,539.8094000000013,6,0,0,0,0,0,0,1,6,6,26,20,0,0,0,3,18,3,0,0,3,0,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0;
4,Chlorpheniramine,0,Oral,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,14.68575725928037,14.68575725928037,0.037840150353668056,-1.7532011006983905,0.015472458904759637,17.149425287356323,1209.4210000000003,1124.7489999999991,1208.6454621279997,472,0,0.2453302077637913,-0.5079666451556014,0.5079666451556014,0.2453302077637913,0.7011494252873564,1.2758620689655173,1.8505747126436782,16.258586459392568,9.983376464772169,2.398504909302814,-2.3063675483381556,2.2230821438765895,-2.6130174603571983,5.992914444626928,-0.14175444631354403,2.402732336697201,1.220375939731423,3042.0879697820883,63.320322272774426,49.75699519579802,49.75699519579802,41.52542625234,29.527720123620636,29.527720123620636,22.794443696713504,22.794443696713504,14.938834577051766,14.938834577051766,10.526424628407083,10.526424628407083,-9.079999999999998,2.4307315326138266e+19,67.05156335016473,32.432024620054776,20.001979306243474,503.6685170913256,83.9824750796518,60.12607929561554,5.959554568743835,59.071797293515054,0.0,0.0,53.35465544650974,4.9839785209472085,0.0,0.0,58.02678414107054,93.03130484127432,68.61416778474897,18.62813003412592,58.158426630399624,75.93427679433997,5.409283605791522,73.01973133375543,17.56947956948497,159.62429131297085,26.241151182250643,84.07277474392603,0.0,5.749511833283905,58.90155351722551,0.0,5.749511833283905,0.0,175.71397059021467,67.20783670949623,17.24509569811431,102.80608996010365,67.25194376568358,0.0,10.902924932081056,0.0,429.03999999999985,108.24088726165662,58.158426630399624,0.0,99.81532374828679,48.01427646739785,5.516700717616262,41.689541651074535,45.16715637606978,19.913841467842857,68.11982160290495,11.142951082953708,0.0,0.0,151.22626525273117,56.09717888803174,7.621841389275183,-7.709247962641753,1.5434449240086214,5.84918934188218,8.871328166712871,0.0,0.5254237288135594,87,17,28,0,2,2,10,2,2,4,9,0,14,16,28,4,32,0,2,2,0,0,24.995608659605804,6,-1.2284300000000077,319.35010000000034,0,1,1,0,0,3,2,1,0,0,10,10,0,0,0,2,13,1,0,1,1,2,0,0,0,0,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
33,Carbamazepine,1,Oral,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,14.837316182806163,14.837316182806163,0.018598818870656952,-2.4484380209522856,0.01129692232058956,21.182608695652174,1620.693000000001,1518.8849999999995,1619.710366351999,630,0,0.32896996371275855,-0.48122180279085486,0.48122180279085486,0.32896996371275855,0.5478260869565217,1.0869565217391304,1.6869565217391305,16.547044331755316,9.955119451496413,2.4107997097796345,-2.2967962626749925,2.2152427833133856,-2.6153768431661018,6.050829049509542,-0.15604730718599008,1.5702496035094424,1.873572629797627,4040.349175350778,85.75911538260038,63.592281211898985,63.592281211898985,54.351807630382375,36.82416615230718,36.82416615230718,27.248720523058587,27.248720523058587,17.86211149015957,17.86211149015957,11.735508462138897,11.735508462138897,-12.699999999999996,1.7545079783144716e+30,94.67553807734247,47.61268346719656,32.504546423391545,657.0231702290896,121.57273273251968,72.56421550837585,5.783244946364939,82.7005162109211,0.0,29.846526439759245,91.09620649736465,4.794537184071822,0.0,0.0,82.70423947924536,69.33515441731508,47.61307113885272,51.80050289096812,126.16024360944009,134.92059880380992,0.0,74.10223037302953,17.385241000485763,209.41313189688057,31.97481865941283,65.85468310269995,0.0,0.0,86.31925428356888,5.687386274683562,0.0,0.0,247.65226978282243,102.25389107409072,5.917906046161393,146.3495349330445,54.727780119305955,0.0,10.902924932081056,0.0,702.02,261.4545552884026,121.42338065564003,0.0,37.05805904107116,29.30801966963007,52.87531971370191,24.26546827384644,30.462311845459514,15.950365812018994,65.07560176070115,21.937865385286607,5.6809043968935615,0.0,276.08194645695204,78.65065641834171,18.078748646861463,-29.73486590929215,-10.539571705875817,-2.3322645975077867,1.1144462936270128,0.0,0.5277777777777778,115,25,43,0,1,1,14,2,1,3,13,0,24,22,43,2,35,0,1,1,0,0,39.19788197011323,4,-5.621799999999977,400.26050000000083,4,1,1,1,0,1,1,0,4,4,20,16,0,0,0,0,14,3,0,0,0,1,0,0,0,0,0,14,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0;
37,Chlorzoxazone,1,Oral,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,15.129540232260647,15.129540232260647,0.02287103621443265,-1.6099396139050224,0.14792471467331686,26.905882352941177,1202.634999999999,1090.7469999999994,1201.841367992,486,0,0.24564364922042153,-0.3901264861786781,0.3901264861786781,0.24564364922042153,0.4588235294117647,0.8705882352941177,1.3176470588235294,16.273889771185285,9.910534611559752,2.4545968875775794,-2.4134701520804107,2.255130887636507,-2.632872478239995,5.992891031295289,-0.15722315062524275,3.612859378918945,4.320268725023779,2325.0756756660257,65.97699784625158,56.06519281120047,56.06519281120047,39.20908852409761,30.561842569458122,30.561842569458122,26.092602009282317,26.092602009282317,16.07656562220368,16.07656562220368,10.681299011251548,10.681299011251548,-6.130000000000002,8.63920786994313e+16,76.88267909217701,34.871505276546664,21.65558178074552,508.3945470988425,60.67304992681939,60.418408291479594,0.0,64.97897702286656,0.0,0.0,52.73990902479004,0.0,0.0,0.0,109.08436100933646,100.72148365975768,49.33370387874032,12.648722793660877,57.84643641963074,64.97897702286656,0.0,55.56652253197868,41.42534232312975,222.75083681152464,55.878460284652895,12.152040213667762,0.0,0.0,21.267154416025324,0.0,0.0,0.0,226.7857074975414,52.73990902479004,41.42534232312975,156.22846213229667,12.152040213667762,0.0,0.0,0.0,278.8,155.79982624649122,48.2573620514871,9.589074368143644,55.77573229927562,6.4208216229260096,9.799819461700956,87.68072693237396,54.54218050466824,61.46591770435886,21.267154416025324,0.0,0.0,0.0,168.51764163733188,23.06363415215392,0.0,-9.70780785495471,-12.327153438745821,3.042918338283875,29.32854506388071,9.915555435383464,0.7903225806451613,85,5,23,0,1,1,11,0,0,0,12,0,12,5,23,1,15,0,1,1,0,0,31.541349995739935,1,3.269000000000003,328.4446000000004,0,1,1,0,0,0,0,0,0,0,11,11,0,0,0,7,4,0,0,7,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
40,Dimercaprol,0,Intramuscular,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O,14.715409283720678,14.715409283720678,0.03399218529192449,-1.6627667591269228,0.04551755348469486,22.830985915492956,1019.261,952.7329999999997,1018.4404803120001,384,0,0.24544439295345072,-0.3941370662897746,0.3941370662897746,0.24544439295345072,0.7183098591549296,1.3098591549295775,1.9577464788732395,33.11460811342624,10.004013943543772,2.3624696260355056,-2.2914714335672595,2.2434107310066813,-2.621361909342,8.763136545897996,-0.1363410104489951,3.7624849007935603,1.5644146079692678,2395.253318315763,51.45044326370088,39.67540048065999,41.30839364251544,34.07302875415888,23.50437815961348,25.992412031326058,17.474045248392372,20.026329998223154,11.850687838554391,14.272683279791359,7.727591764154157,10.055470327798584,-6.009999999999999,1891691845453003.5,55.91115545104115,28.138409879659868,17.079111594369117,419.70226142160317,68.98841588783802,36.25104497488776,0.0,41.35025810546054,0.0,0.0,33.561760288502754,0.0,0.0,0.0,100.45056784277442,68.83223884055046,41.44711896303973,30.898496398305447,48.881342473024866,73.84097899031505,0.0,42.201498748991526,11.46733495432437,112.91506354561757,24.65734558391907,107.81633700516664,0.0,0.0,48.68485518236869,0.0,0.0,21.587795952773448,146.85382380352922,52.82422515728078,0.0,49.800293743250265,91.12598253007565,0.0,10.902924932081056,0.0,332.2199999999999,108.49979947865376,48.881342473024866,0.0,43.7337501111102,23.96854622924601,38.0541723765515,13.847474399381248,60.794147187767564,30.33183534230805,42.201498748991526,11.46733495432437,0.0,0.0,102.77118572619949,50.50567439024676,15.000389837683342,-6.009000755650302,14.603043506565392,-0.15611800788923347,2.2259852959874484,2.0588400068571198,0.4489795918367347,71,15,20,0,1,1,7,3,1,4,10,0,14,13,22,2,17,0,1,1,0,0,22.158464914461618,5,-0.8053999999999981,272.0537999999997,0,3,3,0,0,1,1,0,0,0,7,7,0,0,0,0,8,2,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0;
47,Diclofenac,1,Oral,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,10.687482048374905,10.687482048374905,0.08245370370370342,-4.613809799382716,0.5238999149743511,11.4375,247.143,237.06299999999996,247.02457367,88,0,0.46940522663537176,-0.5052825312770469,0.5052825312770469,0.46940522663537176,1.5625,2.1875,2.6875,31.20446123278639,10.109427746050436,2.1704594671893656,-2.0872113404521215,2.372412407388781,-1.994211331190435,7.4580481659430955,0.11112018173235064,2.1835708930418476,3.012375896787936,454.0869118636696,12.344934982691242,8.32262016845718,9.217047359457094,7.348353872014525,4.175841911690459,5.70613865503068,3.0129945196327177,4.252347310822028,1.8638911973072554,2.3293400051956326,1.0525557326944057,1.3598157358885872,-1.2700000000000002,2487.0872471746643,12.797888662593348,4.712028319358466,3.1104910169878903,90.95325670424707,14.893350600345656,5.749511833283905,6.286160523129555,0.0,0.0,7.822697123132171,14.302262866730846,4.565048284931329,0.0,0.0,0.0,6.923737199690624,11.760295063310071,17.864261451058375,28.776683231060623,14.108857646261725,0.0,4.9839785209472085,0.0,13.530619164203543,0.0,23.017674549855528,0.0,5.749511833283905,0.0,0.0,5.749511833283905,7.822697123132171,26.16348964442242,15.695677411156066,6.923737199690624,21.615368162314272,6.196843571613076,0.0,0.0,0.0,116.95,14.429579087645088,14.466112863843856,0.0,22.570342811526356,6.286160523129555,0.0,13.1205807713037,0.0,0.0,9.507725682659025,9.78682320550495,14.666454868984632,0.0,31.401772486772487,9.464458144368859,0.28185610355253266,-0.31776675485008776,0.0,1.594076593600403,0.9951805791761146,-4.613809799382716,0.25,16,3,7,0,0,0,0,0,1,1,0,0,5,3,8,1,4,0,0,0,0,0,3.769000862883531,1,0.5174199999999998,52.85940000000002,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0;
48,Diflunisal,1,Oral,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,14.46155887287306,14.46155887287306,0.011083148787875086,-5.345283895655431,0.05806569093470269,33.55913978494624,1355.3879999999992,1266.6839999999995,1354.5674001259997,508,0,inf,-0.7561047882678745,inf,0.7561047882678745,0.8172043010752689,1.4193548387096775,2.0,,,,,,,,,1.5165786795984189,1.23193800087332,3705.241808139779,68.98974143691514,54.443842313116846,56.379304712655966,43.305238759936465,31.033766192693264,33.4804423822962,27.28969632886598,29.53689073852741,20.823415434537534,23.014380474855564,15.712074579361056,18.04736959722942,-7.003506493506494,2.354090095231711e+25,71.83723617977654,27.01290099367506,13.533448394076636,546.2284099705255,28.93417615573711,18.31189916324491,6.22790117073487,0.0,7.822697123132171,417.2100551378672,4.565048284931329,4.9839785209472085,0.0,0.0,0.0,37.107111519698464,0.0,23.96760347450998,81.9296384863019,77.34141167213733,5.261891554738487,18.81645596871273,94.7108051231128,189.0146798520424,13.151638370425493,63.90030430122167,0.0,5.00364522211052,44.612205069731914,0.0,0.0,7.822697123132171,131.34630527111048,66.82317209386801,69.44459723846293,150.2974768035306,67.75061551573468,0.0,11.033401435232523,0.0,477.85,143.3359560585977,58.495166520606446,0.0,92.08580050130895,56.405783442850655,11.126902983393991,17.818156922246523,37.71955810156422,53.67515733506696,15.304412347064059,63.1635763381038,33.735827463031356,0.02301865477663312,128.91892429764962,37.91358456687272,36.34935838725767,-7.879103182837269,2.5613530103041207,-5.381917843053261,18.784794097209375,-5.345283895655431,0.6190476190476191,93,15,28,0,6,6,7,1,1,2,15,8,21,9,30,7,27,0,2,2,0,1,20.86593708154361,8,2.722220000000001,335.6942000000005,0,2,2,0,0,2,0,0,0,0,7,7,0,0,3,7,1,6,0,0,0,0,0,0,0,0,6,7,0,0,2,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0;
49,Diphenhydramine,0,Oral,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,10.126886337772223,10.126886337772223,0.37434594671201804,-0.6151569206795753,0.5199919050350968,38.833333333333336,416.6460000000002,372.29400000000015,416.32904526799996,170,0,0.08113023624950191,-0.39266957014162285,0.39266957014162285,0.08113023624950191,1.2333333333333334,1.9666666666666666,2.6666666666666665,16.285875308562414,9.604229166486288,2.4998490154435236,-2.4423658673242756,2.5951121085926565,-2.3568219130089396,5.3831714627412754,0.059619017114397876,2.9955985298588597,1.7009505519736978,682.7119726280486,22.10408352775558,19.661267263879274,19.661267263879274,14.009674365106644,12.18332901641902,12.18332901641902,11.345920669776184,11.345920669776184,8.43703013980587,8.43703013980587,6.737069726443716,6.737069726443716,-0.9000000000000001,3363116.531093124,23.756630928133497,9.302573014005528,5.285369373083563,183.5241447015889,15.319582184522117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.993198072568795,93.10814342788284,6.4208216229260096,17.808983586480295,15.319582184522117,0.0,0.0,0.0,23.168708607880962,109.7121486145029,0.0,35.45028948747406,0.0,0.0,0.0,0.0,0.0,0.0,33.12856577100241,0.0,23.168708607880962,91.90316502802261,35.45028948747406,0.0,0.0,0.0,60.69,17.808983586480295,15.319582184522117,0.0,0.0,30.092445807571586,29.905758352151942,38.524929737556064,5.573104530069267,13.847474399381248,32.5784502966475,0.0,0.0,0.0,0.0,30.197696411094377,3.167113277656,2.1055139769725346,0.0,13.86013232565457,12.836210675289184,0.0,0.7777777777777778,30,3,3,3,0,3,0,0,0,0,6,0,3,3,3,0,6,3,0,3,0,0,7.366593125858126,3,5.704700000000008,124.03840000000008,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
50,Epirubicin,0,Intravenous,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,12.165193737606256,12.165193737606256,0.05162840136054392,-1.6379359042999904,0.32841215945604274,15.185185185185185,376.36900000000014,356.2090000000001,376.13828436,144,0,0.34944760044401535,-0.39357914015505113,0.39357914015505113,0.34944760044401535,1.0740740740740742,1.7407407407407407,2.4074074074074074,16.374546751787864,10.0636125613402,2.2710401988254234,-2.246587675968106,2.240798385666766,-2.4195148568112343,5.805530094908516,-0.08023080237115848,2.620682037438016,2.2752894120966243,1075.453994856704,19.877950698581344,14.747956657748661,14.747956657748661,12.722453108210816,8.294805064212543,8.294805064212543,6.498745776114456,6.498745776114456,4.5695429316207665,4.5695429316207665,2.8942166040898996,2.8942166040898996,-2.66,876018.0053364431,19.111322274168355,7.158061106278338,3.470654420176668,152.29232415746094,24.993209227154175,18.31189916324491,11.518332492848387,0.0,5.559266895052008,5.689743398203474,9.77851570501903,9.77851570501903,4.9839785209472085,0.0,0.0,37.10711151969846,0.0,24.185039805658015,20.426109579362823,11.033401435232523,0.0,19.51903521063298,0.0,38.70412996853873,6.606881964512918,44.09772178171633,0.0,11.518332492848387,11.24901029325548,0.0,0.0,0.0,64.86392591775362,6.544756405912575,13.847474399381248,11.126902983393991,21.721808505066864,0.0,22.551733928080914,0.0,161.56,36.167791421013305,24.90865655266576,0.0,18.063088898760963,11.033401435232523,11.126902983393991,4.567099647791355,12.13273413692322,13.847474399381248,14.951935562841626,5.106527394840706,1.4015154950869235,0.0,33.997488956032875,38.7947589785455,1.1125413160239117,-0.05162840136054392,3.5303167517006804,-4.680411338918281,2.728751576222265,0.0,0.4117647058823529,27,5,10,0,2,2,0,1,0,1,3,0,9,5,10,2,5,0,0,0,0,0,5.066667135565755,3,-1.7235599999999993,95.62089999999999,0,4,4,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
51,Erythromycin,1,Oral,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,11.50371351935836,11.50371351935836,0.025618543713781916,-1.2196791890624559,0.26343729334807475,13.1,307.32800000000003,290.192,307.083806264,114,0,0.32247070702770475,-0.48008628646213053,0.48008628646213053,0.32247070702770475,1.2,1.8,2.25,32.11686749179609,10.13607362918333,2.204003733933701,-2.157158002146225,1.968316840421358,-2.4879733108937083,7.798557956759781,-0.13862919400528495,2.3846224244781977,4.208861414299984,389.18921854622977,15.706742302257043,10.535111880670396,11.42953907167031,9.272963365427639,5.656453432269843,6.288908964303519,3.8976225249092913,4.262770896579402,2.247728644699627,2.6128770163697372,1.1565999836685754,1.4137097687536238,-1.81,13668.65573710903,18.19,9.15071374245247,7.586610574291715,119.85296768959668,26.580299474856254,18.628438064208495,0.0,11.814359458703011,0.0,11.938610575903699,19.178148736287287,0.0,12.628789148012991,0.0,0.0,6.4208216229260096,12.1736752296728,0.0,29.3912035259687,36.381759182619696,0.0,10.633577208012662,5.733667477162185,24.925324904147942,12.297610012659364,0.0,0.0,0.0,16.367244685174846,0.0,0.0,12.628789148012991,58.3473164952434,19.178148736287287,0.0,12.841643245852019,0.0,0.0,0.0,0.0,158.82,42.38140809881521,19.178148736287287,0.0,18.59449685259881,0.0,0.0,0.0,0.0,0.0,23.26236635602565,15.946722266843596,0.0,3.873779569440945,43.742118217393504,21.366246758162585,5.2297081730143,-3.7040656850520355,-2.150671899065208,-0.23496223335013044,-0.5665973449883985,0.0,0.6,20,6,9,0,0,0,2,0,0,0,2,0,6,6,10,0,9,0,0,0,0,0,8.322574148760523,0,-2.2060999999999984,71.27440000000003,2,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
