smiles,pKi,Ki,protein_path
COc(cc1)cc2c1[nH]cc2,inf,0.0,4wnv_meeko.pdb
C[C@@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,5.481486060122113,3.3,4wnv_meeko.pdb
CC(C)N(CC1)CCC1(c1ccccc1)c1ccccc1,5.318758762624412,4.8,4wnv_meeko.pdb
C[C@H]([C@@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,4.769551078621726,17.0,4wnv_meeko.pdb
COc(cc1)c(CN[C@H]2[C@@H](c3ccccc3)NCCC2)cc1OC(F)(F)F,4.698970004336019,20.0,4wnv_meeko.pdb
COc1cc(CCC2C(F)(F)F)c2cc1CN[C@H]1[C@@H](c2ccccc2)NCCC1,4.698970004336019,20.0,4wnv_meeko.pdb
Cc(cc1)ccc1-[n+]1c(C)cc(cc(cc2OC)OC)c2c1C.F[B-](F)(F)F,4.55129368009492,28.1,4wnv_meeko.pdb
COC([C@H]([C@@H](C1)[C@@H](CC2)CN(CC3)[C@@H]1c1c3c(cccc3)c3[nH]1)[C@@H]2O)=O,4.508638306165727,31.0,4wnv_meeko.pdb
CC(C)c(cc1)ccc1-[n+]1c(C)cc(cc(cc2OC)OC)c2c1C.[O-]C(C(F)(F)F)=O,4.262012673666569,54.7,4wnv_meeko.pdb
CCC1C(CC2)CC(C(c3c(cc(cc4)OC)c4ncc3)O)N2C1,4.180456064458132,66.0,4wnv_meeko.pdb
CC(C(F)(F)F)c(cc1)cc(CN[C@H]2[C@@H](c3ccccc3)NCCC2)c1OC,4.154901959985743,70.0,4wnv_meeko.pdb
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1cc1OCOc1c2,4.107905397309519,78.0,4wnv_meeko.pdb
COC([C@@H]([C@@H](C1)[C@@H](CC2)CN(CC3)[C@@H]1c1c3c(cccc3)c3[nH]1)[C@H]2O)=O,4.096910013008056,80.0,4wnv_meeko.pdb
COc1cc2c([C@@H]([C@@H](C[C@@H]3CC4)N4C[C@@H]3C=C)O)ccnc2cc1,4.096910013008056,80.0,4wnv_meeko.pdb
C=CCOCC(CN(CC1)CCN1C(c1ccccc1)c(cc1)ccc1Cl)O,4.0,100.0,4wnv_meeko.pdb
CN1[C@H](CC(c2ccccc2)=O)CCC[C@@H]1C[C@@H](c1ccccc1)O,3.9208187539523753,120.0,4wnv_meeko.pdb
CC(CCC1)(C(F)(F)F)c(cc2CN[C@H]3[C@@H](c4ccccc4)NCCC3)c1cc2OC,3.9208187539523753,120.0,4wnv_meeko.pdb
CN(CCc(cc1OCOc1c1)c1C(C1)=O)Cc2c1ccc(OC)c2OC,3.9136401693252516,122.0,4wnv_meeko.pdb
OC1(CCN(CCCC(c(cc2)ccc2F)=O)CC1)c1cc(C(F)(F)F)ccc1,3.769551078621726,170.0,4wnv_meeko.pdb
COC([C@H]([C@@H](C1)[C@@H](CC2)CN(CC3)[C@@H]1c1c3c(cccc3)c3[nH]1)[C@H]2O)=O,3.744727494896694,180.0,4wnv_meeko.pdb
CC(C)c(cc1)cc(CN[C@@H]2[C@H](C(c3ccccc3)c3ccccc3)N3CCC2CC3)c1OC,3.3767507096020997,420.0,4wnv_meeko.pdb
CC/C(/c(cc1)ccc1O)=C(/c(cc1)ccc1O)\c(cc1)ccc1OCCN,3.3736596326249577,423.0,4wnv_meeko.pdb
Cc(cc(cc(cc1OC)OC)c1c1C)[n+]1-c1cccc2ccccc12.[O-]Cl(=O)(=O)=O,3.3467874862246565,450.0,4wnv_meeko.pdb
CN(CCc1ccccc1)C(CC1)CCN1c1nc(cccc2)c2n1Cc(cc1)ccc1F,3.2992962828549808,502.0,4wnv_meeko.pdb
Fc1cnc(N2CCN(Cc3cnc(-c4ccccc4)[nH]3)CC2)nc1,3.2596373105057563,550.0,4wnv_meeko.pdb
OC(CN(CC1)CCN1C(c1ccccc1)c1ccc(C(F)(F)F)cc1)COc1ccccc1,3.2218487496163566,600.0,4wnv_meeko.pdb
O=C(NC1CCN(C/C2=C/CCCCCC2)CC1)Nc1cc2ccccc2cc1,3.2218487496163566,600.0,4wnv_meeko.pdb
