smiles,pKi,Ki,protein_path
CCC(CCC1)(CN1c1cc(N(C)C(N(C)C2=O)=O)c2n1Cc(cc(cc1)F)c1C#N)N,7.657577319177793,0.022,4wnv_meeko.pdb
CN(c1c(C(N2C)=O)n(Cc(cc(cc3)F)c3C#N)c(N(CCC3)CC3N)c1)C2=O.Cl,7.585026652029182,0.026,4wnv_meeko.pdb
CC(C)(C)[C@@H](C(N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC([C@H](C(C)(C)C)N(CCN1Cc2ccccc2)C1=O)=O)O)Cc(cc1)ccc1-c1ncccc1)=O)NC(OC)=O,4.7447274948966935,18.0,4wnv_meeko.pdb
CC(N(CC1)CCN1c(cc1)ccc1OCC1OC(Cn2cncc2)(c(ccc(Cl)c2)c2Cl)OC1)=O,4.619788758288394,24.0,4wnv_meeko.pdb
CC(C)(C)[Si](C)(C)OC[C@@H]1OC(C)(C)O[C@H]1[C@@H]([C@@H](CNC(c1ccccc1)=O)c(cc1)cc2c1OCO2)OCOC,4.522878745280337,30.0,4wnv_meeko.pdb
CC(C)(C)[Si](C)(C)OC[C@@H]1OC(C)(C)O[C@H]1[C@H]([C@H](CNC(c1ccccc1)=O)c(cc1)cc2c1OCO2)OCOC,4.522878745280337,30.0,4wnv_meeko.pdb
Nc(cc1)ccc1SC[C@H]1O[C@@](CCc(cc2)ccc2Cl)(Cn2cncc2)OC1,4.481486060122112,33.0,4wnv_meeko.pdb
COc1cc(C[C@@H](CO)[C@@H](Cc(cc2)cc3c2OCO3)CO)cc(OC)c1OC,4.267606240177032,54.0,4wnv_meeko.pdb
CC(C)(C)[C@@H](C(N[C@@H](C[C@@H]([C@H](Cc1ccccc1)NC([C@H](C(C)(C)C)N(CCN1Cc2nc(C(C)(C)O)ccc2)C1=O)=O)O)Cc(cc1)ccc1-c1ncccc1)=O)NC(OC)=O,4.180456064458132,66.0,4wnv_meeko.pdb
CC1(C)O[C@@H]([C@@H]([C@@H](CNC(c2ccccc2)=O)c(cc2)cc3c2OCO3)OCOC)[C@H](COS(c2ccc(C)cc2)(=O)=O)O1,4.154901959985743,70.0,4wnv_meeko.pdb
CC1(C)O[C@@H]([C@H]([C@H](CNC(c2ccccc2)=O)c(cc2)cc3c2OCO3)OCOC)[C@H](COS(c2ccc(C)cc2)(=O)=O)O1,4.154901959985743,70.0,4wnv_meeko.pdb
CN(CC1)CCN1C(c1cn(Cc2cncn2Cc(cc2)cc3c2OCO3)cc1-c1cccc2ccccc12)=O,4.096910013008056,80.0,4wnv_meeko.pdb
COc1cc(C[C@@H]2C(O)OC[C@H]2Cc(cc2)cc3c2OCO3)cc(OC)c1OC,4.086186147616283,82.0,4wnv_meeko.pdb
Clc1ccc(c(N2CCN(CCCN(CC3)CCN3c3c(ccc(Cl)c4)c4ncc3)CC2)ccn2)c2c1,4.045757490560675,90.0,4wnv_meeko.pdb
