protein_path,ligand
./data/8efo_cleaned.pdb,Oc1ccc2c3c1O[C@@H]1c4ncc(-c5ccc(F)cc5F)cc4C[C@]4(OCCCc5ccccc5)[C@H](C2)N(CC2CC2)CC[C@@]314
./data/8efo_cleaned.pdb,CNC(=O)Cn1c(=O)n(C2CCN(C3CCCCCCCCC3)CC2)c2ccccc21
./data/8efo_cleaned.pdb,O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H]1Cc1ccccc1
./data/8efo_cleaned.pdb,O=C1[C@@H](CCO)CC2=C([C@H]3Oc4c(O)ccc5c4[C@]34CCN(CC3CC3)[C@@H](C5)[C@@]4(O)C2)N1Cc1ccccc1
./data/8efo_cleaned.pdb,COC(=O)NC1(c2ccc(F)cn2)C[C@@H]2CC[C@@H](C1)N2C(c1ccccc1Cl)c1ccccc1Cl
./data/8efo_cleaned.pdb,C[C@@H](c1ccco1)N(C)CC(=O)N1CCC(C(N)=O)CC1
./data/8efo_cleaned.pdb,O=c1[nH]c2cc(Cl)c(Cl)cc2n1C1CCN(Cc2ccc(Cl)cc2)CC1
./data/8efo_cleaned.pdb,COc1ccc2c3c1O[C@@H]1[C@]34CCN(C)[C@H](C2)[C@]42CC[C@@]1(OC)[C@@H](COCc1ccccc1C)C2
./data/8efo_cleaned.pdb,CO[C@]12CC[C@@H](NCCCC(=O)O)[C@H]3Oc4c(O)ccc5c4[C@]31CCN(C)[C@H]2C5
./data/8efo_cleaned.pdb,Cl.Oc1ccc2c3c1O[C@@H]1c4nc5ccccc5cc4C[C@]4(O)[C@H](C2)N(CCF)CC[C@@]314
./data/8efo_cleaned.pdb,CC1(C)OC2(CCN(CCc3ccccc3)CC2)CN(c2ccccc2)C1=O
./data/8efo_cleaned.pdb,O=C(O)C(F)(F)F.O=C(O)CCC(=O)N(CCN1[C@H]2CC[C@@H]1C[C@H](c1cccc(O)c1)C2)Cc1c(F)cccc1F
./data/8efo_cleaned.pdb,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
